account,ae,risk,renewal_date,quarter,arr,city,state,country,account_name,amount_currency,amount,contract_start_date,contract_end_date,dscoe_overall_risk_score,arr_at_risk_currency,arr_at_risk,cs_owner,account_owner,next_steps,active_account_products,connect_subscription_status,workbench_subscription_status,package_manager_subscription_status,billing_city,billing_state_province,billing_country,account_knowledge,customer_use_cases_and_applications
"BlackRock Financial Management, Inc.",Frank Reilly,Medium,2026-12-31,2026-Q4,,New York,None,United States,"BlackRock Financial Management, Inc.",,,1/1/2026,12/31/2026,Medium,USD,29256.00,Martineja Coats,Frank Reilly,"10/9/2025 MC New CS intro and QBR. The customer expressed they would like to drop WB (VS code users to Connect) but would like to add seats on PCT upon renewal. Customer expressed a preference for flat pricing with WB removal. SE architecture review next steps. Customer also interested in Academy for Python dashboarding, found value in previously attended Admin training.   

9/6/2025 JA/ET Q4 Risk Audited",3,Active Paid,Active Paid,Never Owned,New York,New York,United States,,
Blue Cross Blue Shield Florida,Frank Reilly,Medium,2029-02-28,2029-Q1,393639.31,Jacksonville,None,United States,Blue Cross Blue Shield Florida,USD,393639.31,3/1/2028,2/28/2029,Medium,USD,0.00,Martineja Coats,Frank Reilly,,2,Active Paid,Active Paid,Active Paid,Jacksonville,Florida,United States,,"What problem(s) does each Posit product solve for the customer? Secure server-based platform for work with sensitive data 
 Which version of each product is the customer currently running on? 
 Where does the customer run Posit's products? (on-prem/VPC/ Sagemaker/SPCS/etc.) VMs If PWB customer, how many different IDE's are in use? Are they integrated with Databricks or Snowflake? RStudio Jupyter VS Code 
 If PCT customer, how many content types are published on connect? Shiny Jupyter notebooks Streamlit Rmd/quarto"
BNP Paribas S.A (France),Sabrina Evans,Medium,2027-08-15,2027-Q3,113307.0,Caen,None,France,BNP Paribas S.A (France),USD,113307.00,8/16/2026,8/15/2027,Medium,USD,22901.40,Martineja Coats,Sabrina Evans,,4,,,,Caen,,France,,"What problem(s) does each Posit product solve for the customer? 
 Improving productivity and collaboration within data science teams through features like scalability, pass-through authentication, and partnerships. Offering security and governance capabilities, including role-based access control, authentication, and flexible licensing options. Providing training and educational resources to help users develop their data science skills and get the most out of Posit's offerings. Addressing data analysis, modeling, and communication needs of enterprises through open-source tools and integrations with other popular data tools. Which version of each product is the customer currently running on? 
 Posit Workbench: 2024.12 Posit Connect: 2024.12 Posit Package Manager 2024.12 
 Where does the customer run Posit's products? (on-prem/VPC/ Sagemaker/SPCS/etc.) 
 ? 
 If PWB customer, how many different IDE's are in use? Are they integrated with Databricks or Snowflake? 
 They use it mainly for R but exploring python. 
 If PCT customer, how many content types are published on connect? 
 Shiny"
"Corebridge Financial, Inc.",Frank Reilly,Medium,2027-06-24,2027-Q2,90630.0,Jersey City,None,United States,"Corebridge Financial, Inc.",USD,90630.00,6/25/2026,6/24/2027,Medium,USD,18126.00,Martineja Coats,Frank Reilly,,3,Active Paid,Active Paid,Active Paid,Jersey City,New Jersey,United States,,"Gong AI: Using Posit Workbench, RStudio, and Positron IDE for data analytics, data science, and Python/R development and deployment, including integrating with Snowflake, AWS Sagemaker, and on-premises environments. 
 Leveraging Posit Connect to publish and schedule applications, while respecting data governance requirements. Implementing production deployment pipelines for Posit applications using Git/GitHub and GitHub Actions. Providing a centralized, enterprise-level platform for managing and deploying data science and analytics tools, with capabilities for business continuity, disaster recovery, and high availability. Exploring the use of Posit's Orbital package for building and deploying machine learning models directly within Snowflake."
DESJARDINS TECHNOLOGY GROUP INC.,Sabrina Evans,Medium,2027-06-28,2027-Q2,66434.0,Lévis,None,Canada,DESJARDINS TECHNOLOGY GROUP INC.,USD,66434.00,6/29/2026,6/28/2027,Medium,USD,13286.80,Martineja Coats,Sabrina Evans,,1,Never Owned,Active Paid,Never Owned,Lévis,Quebec,Canada,,"What problem(s) does each Posit product solve for the customer? Posit Workbench provides a secure and scalable development environment for Desjardins' data science teams, developers, and Python coders to work on R and Python projects, with access to various editors like RStudio IDE, VS Code, Jupyter Lab, and Jupyter Notebook. Posit Connect allows Desjardins to publish and share outputs, dashboards, web applications, and API endpoints with stakeholders who are not necessarily coders, such as executives and customer-facing teams, enabling them to access and leverage the analytics insights. The Posit tools help Desjardins streamline their analytics workflow and enable collaboration across different teams and roles within the organization. The Posit Academy courses, including the free Shiny for Python course, help Desjardins' users learn and utilize Python and Shiny capabilities within Posit. The upcoming Positron IDE, which will have a configurable layout and support both Python and R, may provide a more powerful and customizable data science environment for Desjardins' developers. Which version of each product is the customer currently running on? 2024.12.0 Workbench Where does the customer run Posit's products? (on-prem/VPC/ Sagemaker/SPCS/etc.) Azure If PWB customer, how many different IDE's are in use? Are they integrated with Databricks or Snowflake? They use Databricks at Desjardins - not the department we work with those. The Databricks rep has not responded. If PCT customer, how many content types are published on connect? They don't use Connect"
Graydon Holding NV.,Posit Sales,Critical,2026-12-31,2026-Q4,38870.2,Antwerpen,None,Belgium,Graydon Holding NV.,USD,38870.20,1/1/2026,12/31/2026,Critical,USD,62779.80,Martineja Coats,Posit Sales,"9/4 AC/MC Q4 Audited
-Confirmed they will downsell on Connect (800 --> 200), still waiting on reason - merger happened last year so likely why the lower Connect count. Potential layer of competitive threat to Microsoft. Earlier in the year, Workbench contract churned. 
-Next steps involve continuing to stay in contact. Working with Partner on getting insights into 'why' 

SMB ACCOUNT

12/13 Passed to CS to work with cropland and customer on downsell. Customer requested reduction in NU count. Gathering more detail and will share quote/eof with cropland rep.",1,Active Paid,Active Paid,Never Owned,Antwerpen,,Belgium,"RANK: 2 
 Q4 renewal 
 Subscription: Netherlands: PCT-adv(800) Belgium: PWB-adv(10) - all AWS - churned 2025 
 License Expires: Q4 - 12/31/2025 - PCT-adv(800) Q2 - 4/22/2025 - PWB-adv(10) - all AWS 
 Multi-years: Customer since: 4/23/2019 Expansions (to 1/2025): 13 Active expansion: Support tickets: Growth potential: High risk of churn, 2 groups Estimated sales nav personas: 8 
 Sales Navigator personas 
 Notes: 1/10/25 - Netherlands reseller - Cropland, planning to decrease usage, wanted to drop users after signing in 2024. Belgian branch almost churned in 2024. High risk of churn for this account.  
 Cropland was approached in 2018 by Graydon to reduce the time to market for bespoke solutions. Cropland created a number of Shiny apps. Graydon sells the solutions to other businesses (larger banks, Flemish gov't, etc.). All dynamic content requires authentication. Their users have grown steadily, and seem to have leveled off as of 08/06/2024. Jeroen doesn't expect much more growth in 2025. They have no requirements for our other services at this time. 
 Cropland meets with GCS monthly. GCS has contracts that will last 3-5 more years, with expectation that most customers will renew. Signs point to them being a customer for at least the next few years, although their user requirements could fluctuate. 
 https://yourinsight.be/connect/#/welcome 
 Main use cases: - Fraud detection - Assessing likelihood of companies being involved in criminal activity (Flemish gov't) - cocaine trade is a problem in Belgium, money is being invested into ""shell companies"" 
 Renewals: Cropland prefers to maintain the relationship with GCS Cropland: Jeroen Clas (COO) - involved in renewals GCS: Peter Gazelle; Managing Director; Ghent Metropolitan Area (involved Likely submit order in early October.","Former AE/CS: James Schumacher	Martineja Coats 
 How is this customer using their current Posit products to solve their problems? What are the problems? !! The customer is using Posit products, specifically RStudio in SageMaker and Posit Workbench, to perform data science and analytics work, create reports for their customers, and manage their licenses. The main problems the customer is facing are: learning curve with certain packages and APIs, issues with license management and activation, technical challenges in setting up new environments and migrating from their current setup, and the need for more support and guidance from Posit. The customer is also transitioning to using new tools like Python and AWS SageMaker, and is facing difficulties in recreating their existing reports and workflows using the new technologies, as well as getting buy-in from their parent company, Credit Safe, which wants them to adjust to their preferred tooling. The customer's main goal is to scale up their reporting and analysis capabilities to meet the requirements of their customers 
 Which version of each product is the customer currently running on? Netherlands: PCT-adv(800) Belgium: PWB-adv(10) - all AWS Where does the customer run Posit's products? (on-prem/VPC/ Sagemaker/SPCS/etc.) !! The customer, Graydon Holding NV, runs Posit's products in the AWS SageMaker environment. If a Workbench customer, how many different IDEs are in use (RStudio, Jupyter, VS Code, Positron)? Are they integrated with Databricks or Snowflake? RStudio and Python are used.  How many content types do they publish to Connect? Shiny apps and APIs"
HSBC Bank Middle East Limited,Sabrina Evans,High,2030-04-09,2030-Q2,182850.0,Dubai UAE,None,United Arab Emirates,HSBC Bank Middle East Limited,USD,182850.00,4/10/2027,4/9/2030,High,USD,11500.00,Martineja Coats,Sabrina Evans,6.23.2025: Since I received the account I have messaged multiple times trying to get a call to introduce my self and make sure they are doing well. I have not had any contact yet but will keep trying.,1,,,,Dubai UAE,,United Arab Emirates,,"What problem(s) does each Posit product solve for the customer? Centralized management of R and Python applications across HSBC's organization using RStudio Connect, making it easier to maintain and update these tools. 
 Which version of each product is the customer currently running on? Unknown Where does the customer run Posit's products? (on-prem/VPC/ Sagemaker/SPCS/etc.) The customer, HSBC Bank Middle East Limited, runs Posit's products in an on-premises or private cloud environment. The emails mention the use of license keys for both development and production environments, indicating an on-premises or private cloud deployment. The email correspondence also refers to ""R studio Connect"", ""licenses"", and the need to ""apply the licenses"" on servers, further suggesting an on-premises deployment. 
 If PWB customer, how many different IDE's are in use? Are they integrated with Databricks or Snowflake? RStudio IDE Unknow for Python or Snowflake / Databricks If PCT customer, how many content types are published on connect? Unknown"
Lloyd's of London,James Schumacher,None,2026-11-13,2026-Q4,24995.98,London,None,United Kingdom,Lloyd's of London,USD,24995.98,3/31/2026,11/13/2026,,USD,0.00,Martineja Coats,James Schumacher,,3,Active Paid,Active Paid,Active Paid,London,,United Kingdom,"RANK: 1 - START 
 Subscription: PTM-ENT(10,100) 
 License Expires: Q4 - 11/13/2026 
 Multi-years: active Customer since: 11/14/2018 Expansions (to 1/2025): 1 Active expansion: YES Support tickets: Growth potential: High spend, legacy Estimated sales nav personas: 165 
 Sales Navigator personas 
 Notes: Account Knowledge 2/13 - Sync w/ Evan - Chad Goymer main POC. Active expansion, had a lot of IT issues, previously partnered with JR. Was an easier way to get them integrated with Databricks, Lloyds has a lot of gov't restrictions that prevent JR from helping. Expand to Databricks, there's another group that would want access. Tristian's team could have growth potential. Only connect is up and running. Bailey has a lot of info as well. Was looking at exec call w/ Eric maybe Tareef to put in touch with Central Data Team. Unsure if they're still working with JR. 
 
 From? Grow. B. FSP, Ascent, but maybe move to Jumping Rivers. No expansion but looking at multi-year renewal. Interest in Python features. LISN Leads: skills, R = 22, Python = 24, both = 10. They have PT 10,100 so maybe ~10 more PW users? Academy? Does JR do training though?",
Maybank,Kevin Hayden,High,2027-03-01,2027-Q1,40916.0,Kuala Lumpur,None,Malaysia,Maybank,USD,40916.00,3/2/2026,3/1/2027,High,USD,20672.62,Martineja Coats,Kevin Hayden,,4,Never Owned,Never Owned,Never Owned,Kuala Lumpur,,Malaysia,,
Maybank,Kevin Hayden,High,2027-03-20,2027-Q1,40916.0,Kuala Lumpur,None,Malaysia,Maybank,USD,40916.00,3/21/2026,3/20/2027,High,USD,20672.62,Martineja Coats,Kevin Hayden,,4,Never Owned,Never Owned,Never Owned,Kuala Lumpur,,Malaysia,,
McKinsey & Company,Sabrina Evans,Low,2030-05-29,2030-Q2,570852.0,New York,None,United States,McKinsey & Company,USD,570852.00,5/30/2027,5/29/2030,Low,USD,0.00,Martineja Coats,Sabrina Evans,"10.6.25 Customer + SE call to address positron question and Bi-Monthly CS Cadence next steps

5.15.2025: Since our renewal, we have been keeping in touch with them. They are very interested in Snowflake, and we will be booking a more in-depth conversation about this. As well we will have a GenAI  / LLM conversation soon.",3,Active Paid,Active Paid,Active Paid,New York,New York,United States,,"What problem(s) does each Posit product solve for the customer? 
 They use Posit Team to model, create applications, and gain insights in R and Python for the HR analytics. They look at reasons people leave, stay, hiring practices, and more. Which version of each product is the customer currently running on? Info might be out of date, but the last update I am aware of was done in December 2024 for all three products. Where does the customer run Posit's products? (on-prem/VPC/ Sagemaker/SPCS/etc.) 
 AWS - EKS 
 If PWB customer, how many different IDE's are in use? Are they integrated with Databricks or Snowflake? 
 They use RStudio IDE, VSCode, Jupyter (can't remember if it is both Lab and Notebook or only one of the two). They are interested in testing Positron soon too. 
 If PCT customer, how many content types are published on connect? 
 They use it for Shiny, APIs, and Python applications (I am not sure which ones). They also use Quarto and RMarkdown."
NAVY FEDERAL CREDIT UNION,Kevin Hayden,Medium,2030-12-08,2030-Q4,909253.5,Merrifield,None,United States,NAVY FEDERAL CREDIT UNION,USD,909253.50,12/9/2027,12/8/2030,Medium,USD,0.00,Martineja Coats,Kevin Hayden,,5,Active Paid,Active Paid,Active Paid,Merrifield,Virginia,United States,,NFCU is signed on for a three year contract. They deploy all three team products in AWS. They leverage PPS as well.
Nordea,Frank Reilly,Medium,2030-05-21,2030-Q2,199200.0,Luleå,None,Sweden,Nordea,USD,199200.00,5/22/2027,5/21/2030,Medium,USD,0.00,Martineja Coats,Frank Reilly,,2,Active Paid,Active Paid,Never Owned,Luleå,,Sweden,,"Gong AI: Fraud detection and investigation, financial crime investigations, intelligence, and analytics Organizing and managing dashboards and content in Posit Connect Exploring the use of Python in addition to R Analytics and reporting, particularly within the Fraud Management system Using Posit Workbench for ETL scripts, reporting, dashboards, and sharing data with other teams, as well as transferring reports to Quarto and sharing HTML reports"
Reserve Bank of Australia,James Schumacher,Medium,2030-08-31,2030-Q3,988840.38,Sydney,None,Australia,Reserve Bank of Australia,USD,988840.38,7/1/2027,8/31/2030,Medium,USD,0.00,Martineja Coats,James Schumacher,02/25/25 - James - MC and James met with Dave and are planning acct intro next week.,4,Active Paid,Active Paid,Active Paid,Sydney,New South Wales,Australia,"RANK: 1 
 Products: PTM-adv(120/500) + PPS 
 License Expires: Q2 - 6/30/2027 
 Multi-years: 1 current Customer since: 5/19/2021 Expansions: 4 
 Growth potential: High Spend 
 Notes: Account Knowledge 
 Note from Maggie?, has PPS at 15K still, needs to get onto both new packaging and new PPS pricing. Are they actually using PPS? Somewhat. Our support team doesn't love it b/c of timezones.",
"Santander Bank, N.A.",Kevin Hayden,Medium,2027-03-30,2027-Q1,185152.43,Qunicy,None,United States,"Santander Bank, N.A.",USD,185152.43,3/31/2026,3/30/2027,Medium,USD,0.00,Martineja Coats,Kevin Hayden,,2,Active Paid,Active Paid,Never Owned,Qunicy,Massachusetts,United States,,"This is a very strong partnership. The Santander US team loves Posit and is migrating away from SAS to OS DS tooling. They are more heavily using Python but love PWB becuase of the value they see out of the tool and for the functionality for both R and Python 
 Manuel and his team do a great job mantaining the software. they love the integration with Snowflake 
 They will be doing a migration to AWS in the near future and wanted to use PTD but it was shot down by Global HQ in Madrid"
Santander Bank Polska S.A.,Kevin Hayden,Low,2027-01-09,2027-Q1,45332.67,Warsaw,None,Poland,Santander Bank Polska S.A.,USD,45332.67,1/10/2026,1/9/2027,Low,USD,9066.53,Martineja Coats,Kevin Hayden,,1,Active Paid,Active Paid,Never Owned,Warsaw,,Poland,,
Santander Private Banking,Kevin Hayden,Medium,2027-09-19,2027-Q3,68370.0,Miami,None,United States,Santander Private Banking,USD,68370.00,9/20/2026,9/19/2027,Medium,USD,0.00,Martineja Coats,Kevin Hayden,,2,,,,Miami,Florida,United States,,This customer came to us looking for a central analytics platform mainly for Python. They wanted to build and deploy models and dashboards as the bank moves away from Excel and SAS.
Societe Generale,Kevin Hayden,High,2026-03-31,2026-Q1,15326.0,Paris,None,France,Societe Generale,USD,15326.00,9/30/2025,3/31/2026,High,USD,0.00,Martineja Coats,Kevin Hayden,"9.30: SHI pushing back saying they dont need to submit EOF and PO will suffice 9.26: have PO just need SHI to submit EOF9.8: going through procurement approvals


8.22: sent over updated quotes/OF to SHI

8.19: The meeting with Soc Gen this morning went very well. We had some key SG stakeholders there who we had never met with and Eric being there in person was fantastic. The group has a much better understanding of our story, product roadmap and we have commitment from them to validate our new software (PWB and PCT) and timeline to get things started early fall. We also learned more about their rollout of DBRX and Snowflake and plan to leverage Python more and more in the future.

7.11: working with DD to see if we can extend currentl licenses while doing POC for PWB",5,Never Owned,Active Paid,Never Owned,Paris,,France,,
Societe Generale,Kevin Hayden,High,2026-03-31,2026-Q1,10640.9,Paris,None,France,Societe Generale,USD,10640.90,10/30/2025,3/31/2026,High,USD,2632.26,Martineja Coats,Kevin Hayden,"9.8: going through procurement approvals

9/6/2025 JA/ET Q4 Risk Audited",5,Never Owned,Active Paid,Never Owned,Paris,,France,,
Societe Generale,Kevin Hayden,High,2025-11-21,2025-Q4,0.0,Paris,None,France,Societe Generale,USD,0.00,10/8/2025,11/21/2025,High,USD,34932.21,Martineja Coats,Kevin Hayden,"10/9 order form completion in progress, customer will trial PCT ahead of renewal to assist in determination of path forward upon SSP sunset",5,Never Owned,Active Paid,Never Owned,Paris,,France,,
